Type,Time,Error,Gradient Type,MF Type
sinus 1 Input 5 Sets 5000 Epochs Batch Gradient Descent two equations mf,16.691901044,0.00019439455,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 5000 Epochs Batch Gradient Descent one equation mf,15.305755668000002,2.256636e-05,Batch Gradient Descent,one equation mf
sinus 1 Input 10 Sets 50000 Epochs Mini-Batch Gradient Descent two equations mf,266.304404533,0.00023102477,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 10 Sets 50000 Epochs Mini-Batch Gradient Descent one equation mf,244.412523947,0.004298657,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 10 Sets 10000 Epochs Batch Gradient Descent two equations mf,55.605003015,5.942295e-06,Batch Gradient Descent,two equations mf
sinus 1 Input 10 Sets 10000 Epochs Batch Gradient Descent one equation mf,52.769661654,0.0004427138,Batch Gradient Descent,one equation mf
sinus 1 Input 10 Sets 50000 Epochs Batch Gradient Descent two equations mf,283.664781206,8.0891635e-07,Batch Gradient Descent,two equations mf
sinus 1 Input 10 Sets 50000 Epochs Batch Gradient Descent one equation mf,264.77020761299997,1.8734888e-06,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 400 Epochs Stochastic Gradient Descent one equation mf,1.358354447,2.0090377,Stochastic Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5 Epochs Mini-Batch Gradient Descent two equations mf,0.15505729899999965,0.65376276,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1 Epochs Batch Gradient Descent two equations mf,0.12761814700000018,2.1592715,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 100 Epochs Mini-Batch Gradient Descent two equations mf,0.35572597800000016,0.13979717,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 100 Epochs Mini-Batch Gradient Descent one equation mf,0.3424723780000001,0.12913044,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 500 Epochs Mini-Batch Gradient Descent one equation mf,1.1590317799999994,0.25772715,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 100 Epochs Batch Gradient Descent one equation mf,0.3176443769999997,0.12515587,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent one equation mf,12.397510398000001,0.30541062,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent one equation mf,10.517529442,0.26844028,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent two equations mf,11.047860743000001,0.14426939,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent one equation mf,2.06444925,0.2716484,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent one equation mf,2.07937094,0.2716484,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent one equation mf,2.063911247,0.0048488663,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.178516152,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.2069402430000005,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.225955583,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.175011519,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.1716714310000005,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.153137039,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent two equations mf,2.1478350390000003,0.13913532,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent one equation mf,10.688141328,0.27455482,Mini-Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent one equation mf,2.0558600640000004,0.0048777894,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 1000 Epochs Batch Gradient Descent one equation mf,2.0717652909999997,0.0053778817,Batch Gradient Descent,one equation mf
sinus 1 Input 2 Sets 5000 Epochs Mini-Batch Gradient Descent one equation mf,10.686175073000001,0.0050314935,Mini-Batch Gradient Descent,one equation mf
